Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/ Over-taking/etc._Cases,Dangerous or Careless Driving/ Over-taking/etc._Injured,Dangerous or Careless Driving/ Over-taking/etc._Died,Over Speeding_Cases,Over Speeding_Injured,Over Speeding_Died,Driving under Influence of Drug/Alcohol_Cases,Driving under Influence of Drug/Alcohol_Injured,Driving under Influence of Drug/Alcohol_Died,Physical Fatigue of Drivers_Cases,Physical Fatigue of Drivers_Injured,Physical Fatigue of Drivers_Died,Defect in Mechanical Condition of Motor Vehicle_Cases,Defect in Mechanical Condition of Motor Vehicle_Injured,Defect in Mechanical Condition of Motor Vehicle_Died,Animal Crossing_Cases,Animal Crossing_Injured,Animal Crossing_Died,Weather Condition (Total)_Cases,Weather Condition (Total)_Injured,Weather Condition (Total)_Died,Weather Condition (Poor Visibility)_Cases,Weather Condition (Poor Visibility)_Injured,Weather Condition (Poor Visibility)_Died,Weather Condition (Others Causes_Cases,Weather Condition (Others Causes_Injured,Weather Condition (Others Causes_Died,Lack of Road Infrastructure_Cases,Lack of Road Infrastructure_Injured,Lack of Road Infrastructure_Died,Vehicles Parking at Road Shoulders_Cases,Vehicles Parking at Road Shoulders_Injured,Vehicles Parking at Road Shoulders_Died,Causes Not Known_Cases,Causes Not Known_Injured,Causes Not Known_Died,Other Causes_Cases,Other Causes_Injured,Other Causes_Died,Total Road Accidents_Cases,Total Road Accidents_Injured,Total Road Accidents_Died,Unmanned Railway Crossing Accidents_Cases,Unmanned Railway Crossing Accidents_Injured,Unmanned Railway Crossing Accidents_Died,Grand Total_Cases,Grand Total_Injured,Grand Total_Died
62,City,KOCHI,763,799,69,1296,1360,81,1,2,0,0,0,0,0,0,0,0,0,0,74,87,2,74,87,2,0,0,0,4,6,3,0,0,0,0,0,0,0,0,0,2138,2254,155,0,0,0,2138,2254,155
63,City,KOLKATA,3,0,4,16,5,11,71,50,4,0,0,0,0,0,0,0,0,0,328,272,0,139,110,0,189,162,0,40,44,0,0,0,0,7,0,7,1603,1633,241,2068,2004,267,0,0,0,2068,2004,267
64,City,KOLLAM,0,0,0,1799,1885,207,2,2,0,0,0,0,0,0,0,0,0,0,17,25,1,17,25,1,0,0,0,0,0,0,0,0,0,122,69,17,0,0,0,1940,1981,225,0,0,0,1940,1981,225
65,City,KOTA,16,15,4,471,469,92,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,486,96,0,0,0,491,486,96
66,City,KOZHIKODE,555,515,52,1005,1044,125,1,1,0,34,36,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1597,1597,179,0,0,0,1597,1597,179
67,City,LUCKNOW,262,164,99,320,187,126,17,16,5,0,0,0,10,7,5,2,0,2,21,19,9,8,6,2,13,13,7,14,15,5,0,0,0,32,37,4,201,125,105,879,570,360,3,0,3,882,570,363
68,City,LUDHIANA,152,88,104,314,176,209,9,15,1,2,0,2,1,0,1,5,0,5,5,0,5,2,0,2,3,0,3,5,1,5,8,11,8,2,0,2,23,0,23,526,291,365,0,0,0,526,291,365
69,City,MADURAI,41,25,16,813,762,161,12,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,799,193,0,0,0,866,799,193
70,City,MALAPPURAM,216,256,30,594,622,111,5,6,0,2,2,0,8,2,8,1,1,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,838,902,149,0,0,0,838,902,149
71,City,MEERUT,184,130,68,229,147,87,98,82,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,359,186,0,0,0,511,359,186
72,City,MUMBAI,318,84,236,254,22,231,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,11,0,11,588,106,483,0,0,0,588,106,483
73,City,NAGPUR,723,563,159,386,326,110,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1119,899,270,0,0,0,1119,899,270
74,City,NASIK,36,12,36,153,24,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,36,189,0,0,0,189,36,189
75,City,PATNA,102,87,34,248,125,81,102,80,45,0,0,0,0,0,0,0,0,0,72,40,32,72,40,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,332,192,0,0,0,524,332,192
76,City,PUNE,141,53,89,157,40,129,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,1,0,0,0,0,0,0,308,94,227,0,0,0,308,94,227
77,City,RAIPUR,24,31,6,1120,637,96,1,0,1,4,6,1,7,11,2,14,8,1,0,0,0,0,0,0,0,0,0,3,5,1,11,6,3,73,25,31,0,0,0,1257,729,142,0,0,0,1257,729,142
78,City,RAJKOT,0,0,0,575,437,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,437,170,0,0,0,575,437,170
79,City,RANCHI,152,53,91,149,112,62,53,76,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,241,233,0,0,0,354,241,233
80,City,SRINAGAR,0,0,0,310,323,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,323,45,0,0,0,310,323,45
81,City,SURAT,93,77,19,765,637,270,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,718,292,0,0,0,865,718,292
82,City,THIRUVANANTHAPURAM,534,506,45,973,1007,101,32,10,4,16,10,2,23,21,1,24,44,0,18,18,0,18,18,0,0,0,0,9,12,2,37,35,0,14,13,1,24,25,4,1704,1701,160,0,0,0,1704,1701,160
83,City,THRISSUR,435,480,54,1725,1989,133,6,6,0,0,0,0,24,6,23,0,0,0,0,0,0,0,0,0,0,0,0,15,7,2,5,3,1,0,0,0,0,0,0,2210,2491,213,0,0,0,2210,2491,213
84,City,TIRUCHIRAPPALLI,39,50,15,470,515,85,1,2,0,0,0,0,0,0,0,0,0,0,7,18,4,0,0,0,7,18,4,0,0,0,0,0,0,0,0,0,0,0,0,517,585,104,0,0,0,517,585,104
85,City,VADODARA,40,41,3,632,504,154,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,551,158,0,0,0,679,551,158
86,City,VARANASI,23,11,14,14,5,10,6,1,6,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,0,0,0,0,0,0,1,1,1,114,72,43,0,0,0,160,91,76,0,0,0,160,91,76
87,City,VASAI VIRAR,311,161,160,12,11,2,0,0,0,0,0,0,2,1,1,1,1,0,9,6,3,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,335,180,166,0,0,0,335,180,166
88,City,VIJAYAWADA,167,158,38,1263,1219,309,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,8,7,2,0,0,0,1,0,1,0,0,0,60,58,5,0,0,0,1499,1442,355,0,0,0,1499,1442,355
89,City,VISHAKHAPATNAM,240,193,84,678,599,209,5,5,2,0,0,0,0,0,0,0,0,0,23,28,4,15,16,3,8,12,1,0,0,0,2,1,2,3,0,3,15,0,16,966,826,320,0,0,0,966,826,320
City,City,TOTAL (CITIES),17978,14932,4089,38031,34151,8117,1439,1190,354,1072,1004,275,736,719,187,221,210,82,2504,2311,430,1578,1508,210,926,803,220,244,206,112,205,211,66,1165,864,367,3633,3185,703,67228,58983,14782,3,0,3,67231,58983,14785
